,FIPS,Date,Confirmed,Deaths,New Cases,New Deaths,"Cases, 7DMA","Deaths, 7DMA","New Cases Per 100k, 7DMA",Deaths Per 100k
1595,29227,2020-09-08,16,0,0,0,1,0,50,0
1596,29229,2020-09-08,108,0,0,0,2,0,11,0
1597,29510,2020-09-08,6452,190,13,1,34,0,11,63
1598,30001,2020-09-08,72,1,0,0,0,0,0,11
1599,30003,2020-09-08,735,17,3,0,9,0,68,128
1600,30005,2020-09-08,15,0,0,0,0,0,0,0
1601,30007,2020-09-08,16,0,0,0,0,0,0,0
1602,30009,2020-09-08,94,0,1,0,1,0,9,0
1603,30011,2020-09-08,0,0,0,0,0,0,0,0
1604,30013,2020-09-08,381,5,8,0,13,0,16,6
1605,30015,2020-09-08,11,0,0,0,0,0,0,0
1606,30017,2020-09-08,70,2,1,0,1,0,9,18
1607,30019,2020-09-08,3,0,0,0,0,0,0,0
1608,30021,2020-09-08,53,1,1,0,1,0,12,12
1609,30023,2020-09-08,82,0,2,0,7,0,77,0
1610,30025,2020-09-08,4,0,0,0,0,0,0,0
1611,30027,2020-09-08,42,0,4,0,1,0,9,0
1612,30029,2020-09-08,691,9,5,0,11,0,11,9
1613,30031,2020-09-08,1120,3,7,0,6,0,5,3
1614,30033,2020-09-08,15,0,-1,0,0,0,0,0
1615,30035,2020-09-08,147,1,3,0,2,0,15,7
1616,30037,2020-09-08,3,0,0,0,0,0,0,0
1617,30039,2020-09-08,21,0,0,0,0,0,0,0
1618,30041,2020-09-08,99,2,0,0,2,0,12,12
1619,30043,2020-09-08,41,0,0,0,0,0,0,0
1620,30045,2020-09-08,6,0,0,0,0,0,0,0
1621,30047,2020-09-08,224,1,2,0,3,0,10,3
1622,30049,2020-09-08,207,3,0,0,1,0,1,4
1623,30051,2020-09-08,9,0,1,0,0,0,0,0
1624,30053,2020-09-08,100,2,2,0,2,0,10,10
1625,30055,2020-09-08,14,0,0,0,0,0,0,0
1626,30057,2020-09-08,95,1,0,0,0,0,0,12
1627,30059,2020-09-08,9,0,0,0,1,0,54,0
1628,30061,2020-09-08,2,0,0,0,0,0,0,0
1629,30063,2020-09-08,449,3,2,0,2,0,2,3
1630,30065,2020-09-08,22,0,2,0,1,0,22,0
1631,30067,2020-09-08,70,0,2,0,1,0,6,0
1632,30069,2020-09-08,0,0,0,0,0,0,0,0
1633,30071,2020-09-08,114,0,0,0,0,0,0,0
1634,30073,2020-09-08,16,0,0,0,0,0,0,0
1635,30075,2020-09-08,2,0,0,0,0,0,0,0
1636,30077,2020-09-08,10,0,0,0,0,0,0,0
1637,30079,2020-09-08,1,0,0,0,0,0,0,0
1638,30081,2020-09-08,113,2,0,0,0,0,0,5
1639,30083,2020-09-08,64,2,0,0,1,0,9,19
1640,30085,2020-09-08,62,1,0,0,3,0,27,9
1641,30087,2020-09-08,370,5,10,0,15,0,168,56
1642,30089,2020-09-08,41,0,0,0,1,0,8,0
1643,30091,2020-09-08,5,0,0,0,0,0,0,0
1644,30093,2020-09-08,132,0,1,0,2,0,6,0
1645,30095,2020-09-08,44,2,3,0,1,0,10,21
1646,30097,2020-09-08,34,1,0,0,2,0,54,27
1647,30099,2020-09-08,18,0,0,0,0,0,0,0
1648,30101,2020-09-08,57,6,0,0,1,0,21,127
1649,30103,2020-09-08,3,0,0,0,0,0,0,0
1650,30105,2020-09-08,51,0,0,0,1,0,14,0
1651,30107,2020-09-08,4,0,1,0,0,0,0,0
1652,30109,2020-09-08,8,0,0,0,0,0,0,0
1653,30111,2020-09-08,2310,49,5,1,31,1,19,30
1654,31001,2020-09-08,436,11,6,0,3,0,10,35
1655,31003,2020-09-08,29,1,1,0,1,0,16,16
1656,31005,2020-09-08,1,0,0,0,0,0,0,0
1657,31007,2020-09-08,2,0,0,0,0,0,0,0
1658,31009,2020-09-08,0,0,0,0,0,0,0,0
1659,31011,2020-09-08,35,0,2,0,1,0,19,0
1660,31013,2020-09-08,33,0,2,0,1,0,9,0
1661,31015,2020-09-08,10,0,0,0,0,0,0,0
1662,31017,2020-09-08,6,0,1,0,0,0,0,0
1663,31019,2020-09-08,784,3,20,0,12,0,24,6
1664,31021,2020-09-08,69,0,0,0,0,0,0,0
1665,31023,2020-09-08,96,0,0,0,0,0,0,0
1666,31025,2020-09-08,273,2,2,0,2,0,8,8
1667,31027,2020-09-08,59,0,6,0,2,0,24,0
1668,31029,2020-09-08,16,0,0,0,0,0,0,0
1669,31031,2020-09-08,35,2,0,1,2,0,35,35
1670,31033,2020-09-08,30,0,0,0,0,0,0,0
1671,31035,2020-09-08,63,0,0,0,1,0,16,0
1672,31037,2020-09-08,734,5,2,0,1,0,9,47
1673,31039,2020-09-08,101,0,6,0,3,0,34,0
1674,31041,2020-09-08,77,4,1,0,0,0,0,37
1675,31043,2020-09-08,2058,43,2,0,6,0,30,215
1676,31045,2020-09-08,101,0,10,0,2,0,23,0
1677,31047,2020-09-08,1035,11,9,0,4,0,17,47
1678,31049,2020-09-08,3,0,0,0,0,0,0,0
1679,31051,2020-09-08,69,2,0,0,1,0,18,35
1680,31053,2020-09-08,958,11,16,0,6,0,16,30
1681,31055,2020-09-08,14042,161,103,0,69,0,12,28
1682,31057,2020-09-08,9,0,0,0,0,0,0,0
1683,31059,2020-09-08,38,1,4,0,1,0,18,18
1684,31061,2020-09-08,20,0,0,0,0,0,0,0
1685,31063,2020-09-08,6,0,0,0,0,0,0,0
1686,31065,2020-09-08,29,1,1,0,0,0,0,21
1687,31067,2020-09-08,146,4,6,0,2,0,9,19
1688,31069,2020-09-08,9,0,1,0,0,0,0,0
1689,31071,2020-09-08,6,0,0,0,0,0,0,0
1690,31073,2020-09-08,25,0,1,0,0,0,0,0
1691,31075,2020-09-08,0,0,0,0,0,0,0,0
1692,31077,2020-09-08,14,0,1,0,0,0,0,0
1693,31079,2020-09-08,1889,46,4,0,4,0,7,75
1694,31081,2020-09-08,108,12,1,0,0,0,0,129
1695,31083,2020-09-08,8,0,0,0,0,0,0,0
1696,31085,2020-09-08,0,0,0,0,0,0,0,0
1697,31087,2020-09-08,2,0,0,0,0,0,0,0
1698,31089,2020-09-08,29,0,2,0,1,0,10,0
1699,31091,2020-09-08,7,0,1,0,0,0,0,0
1700,31093,2020-09-08,67,5,2,0,0,0,0,78
1701,31095,2020-09-08,26,0,3,0,1,0,14,0
1702,31097,2020-09-08,30,0,1,0,1,0,20,0
1703,31099,2020-09-08,120,0,2,0,1,0,15,0
1704,31101,2020-09-08,48,0,0,0,0,0,0,0
1705,31103,2020-09-08,1,0,0,0,0,0,0,0
1706,31105,2020-09-08,15,0,0,0,0,0,0,0
1707,31107,2020-09-08,85,0,3,0,2,0,24,0
1708,31109,2020-09-08,4582,21,165,0,69,0,22,7
1709,31111,2020-09-08,336,2,0,0,9,0,26,6
1710,31113,2020-09-08,5,0,0,0,0,0,0,0
1711,31115,2020-09-08,2,0,0,0,0,0,0,0
1712,31117,2020-09-08,6,0,0,0,0,0,0,0
1713,31119,2020-09-08,654,5,11,0,6,0,17,14
1714,31121,2020-09-08,75,1,0,0,1,0,13,13
1715,31123,2020-09-08,67,0,0,0,0,0,0,0
1716,31125,2020-09-08,15,0,1,0,1,0,28,0
1717,31127,2020-09-08,100,0,3,0,2,0,29,0
1718,31129,2020-09-08,12,0,1,0,0,0,0,0
1719,31131,2020-09-08,126,1,0,0,1,0,6,6
1720,31133,2020-09-08,12,0,0,0,0,0,0,0
1721,31135,2020-09-08,31,9,0,2,0,0,0,311
1722,31137,2020-09-08,80,0,1,0,1,0,11,0
1723,31139,2020-09-08,72,4,2,0,2,0,28,56
